CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0065,1.0,C0143,0.9999,C0156,0.9999
C0002,C0094,1.0,C0121,1.0,C0119,0.9999
C0003,C0142,1.0,C0157,0.9979,C0029,0.9972
C0004,C0162,0.9994,C0075,0.9989,C0124,0.9987
C0005,C0128,1.0,C0061,1.0,C0140,1.0
C0006,C0037,0.9929,C0107,0.9906,C0133,0.9903
C0007,C0092,1.0,C0125,0.9998,C0146,0.9997
C0008,C0017,1.0,C0109,1.0,C0098,0.9995
C0009,C0150,1.0,C0123,0.9999,C0192,0.9999
C0010,C0106,0.9991,C0076,0.999,C0157,0.9985
C0011,C0188,1.0,C0054,0.9999,C0064,0.9999
C0012,C0045,0.9999,C0156,0.9997,C0143,0.9996
C0013,C0163,1.0,C0141,0.9998,C0104,0.9995
C0014,C0052,1.0,C0063,0.9998,C0159,0.9997
C0015,C0058,0.9998,C0131,0.9985,C0191,0.9982
C0016,C0079,0.9997,C0158,0.9989,C0115,0.9988
C0017,C0008,1.0,C0109,1.0,C0098,0.9995
C0018,C0105,1.0,C0041,0.9999,C0068,0.9999
C0019,C0172,0.9999,C0086,0.9999,C0189,0.9991
C0020,C0069,1.0,C0167,1.0,C0061,0.9999
